sample_id,group_id,current_A,speed_cm_min,frequency_Hz,amplitude_mm,cooling_s,width_mm,height_mm,source_file,source_row
multi_mean_203,73.078_23.392_2.081_1.245,73.0778,23.3923,2.0813,1.2448,80.0,6.8667,2.1957,multi_mean.csv,204
multi_mean_204,65.091_24.760_2.259_1.790,65.0913,24.7596,2.2594,1.7905,80.0,8.7054,1.907,multi_mean.csv,205
multi_mean_205,79.641_22.586_3.429_2.366,79.6413,22.5858,3.4289,2.3663,80.0,12.2446,1.8666,multi_mean.csv,206
multi_mean_206,69.179_23.851_2.773_2.679,69.1793,23.8511,2.7735,2.6792,80.0,12.2156,1.7732,multi_mean.csv,207
multi_mean_207,66.842_28.662_3.032_2.884,66.8418,28.6616,3.0322,2.8843,80.0,11.7776,1.5629,multi_mean.csv,208
multi_mean_208,62.052_27.232_3.912_1.548,62.0517,27.232,3.9116,1.5475,80.0,7.6072,1.757,multi_mean.csv,209
multi_mean_209,98.562_28.463_3.786_2.263,98.562,28.4629,3.7862,2.2631,80.0,12.3078,1.7909,multi_mean.csv,210
multi_mean_210,81.949_22.091_2.284_3.621,81.9493,22.0908,2.284,3.6208,80.0,13.7535,1.8917,multi_mean.csv,211
multi_mean_211,64.243_22.430_2.510_2.938,64.2432,22.4298,2.5095,2.938,80.0,12.3299,1.784,multi_mean.csv,212
multi_mean_212,99.818_25.441_3.977_3.149,99.8177,25.4411,3.9768,3.1486,80.0,14.4181,1.8049,multi_mean.csv,213
multi_mean_213,77.815_24.632_3.335_1.698,77.815,24.6322,3.3351,1.6976,80.0,9.124,1.9316,multi_mean.csv,214
multi_mean_214,76.464_29.601_3.061_2.519,76.4638,29.6008,3.0612,2.5195,80.0,11.7865,1.6173,multi_mean.csv,215
multi_mean_215,62.738_24.333_3.280_3.532,62.7383,24.3334,3.2799,3.5323,80.0,12.7545,1.6193,multi_mean.csv,216
multi_mean_216,82.784_29.948_3.860_1.174,82.7845,29.9478,3.86,1.1744,80.0,6.6376,1.9338,multi_mean.csv,217
multi_mean_217,80.876_28.722_2.238_2.239,80.8762,28.7216,2.2377,2.2386,80.0,10.7832,1.7824,multi_mean.csv,218
multi_mean_218,70.616_26.590_3.137_3.855,70.6159,26.5897,3.1373,3.855,80.0,13.0978,1.5885,multi_mean.csv,219
multi_mean_219,88.181_28.887_3.564_3.723,88.1806,28.8866,3.5645,3.7228,80.0,13.7489,1.5897,multi_mean.csv,220
multi_mean_220,80.672_22.169_3.119_1.642,80.6718,22.1685,3.1191,1.6422,80.0,9.2873,2.061,multi_mean.csv,221
multi_mean_221,75.775_25.573_2.821_1.954,75.7747,25.5725,2.8205,1.9544,80.0,9.9043,1.8647,multi_mean.csv,222
multi_mean_222,71.990_26.863_3.940_1.984,71.9897,26.8633,3.9403,1.9838,80.0,9.8148,1.7036,multi_mean.csv,223
multi_mean_223,97.149_22.657_3.643_1.769,97.1488,22.6575,3.6433,1.7688,80.0,10.7855,2.1014,multi_mean.csv,224
multi_mean_224,87.246_27.314_3.374_1.020,87.2463,27.314,3.3744,1.0204,80.0,6.5694,2.1837,multi_mean.csv,225
multi_mean_225,96.363_24.413_2.151_3.064,96.3632,24.4132,2.1507,3.064,80.0,13.8082,1.972,multi_mean.csv,226
multi_mean_226,90.549_23.258_3.175_1.216,90.5486,23.2584,3.1754,1.2158,80.0,7.9825,2.2601,multi_mean.csv,227
multi_mean_227,76.987_22.949_2.656_2.569,76.9872,22.9492,2.6557,2.5686,80.0,12.5601,1.8735,multi_mean.csv,228
multi_mean_228,83.497_25.789_3.454_3.920,83.4973,25.7886,3.4538,3.9197,80.0,14.0121,1.6704,multi_mean.csv,229
multi_mean_229,72.265_23.579_2.909_3.998,72.2651,23.5795,2.9088,3.998,80.0,13.618,1.7088,multi_mean.csv,230
multi_mean_230,92.733_25.271_3.751_1.389,92.7329,25.2712,3.7507,1.3891,80.0,8.6461,2.0912,multi_mean.csv,231
multi_mean_231,63.472_28.259_2.986_3.501,63.4723,28.259,2.9858,3.501,80.0,12.2422,1.5239,multi_mean.csv,232
multi_mean_232,86.949_29.181_2.574_3.651,86.9491,29.1811,2.5735,3.6508,80.0,13.3738,1.6586,multi_mean.csv,233
multi_mean_233,94.822_27.511_3.202_3.178,94.8216,27.5107,3.2017,3.178,80.0,13.7722,1.752,multi_mean.csv,234
multi_mean_234,85.804_27.618_2.951_1.321,85.804,27.6177,2.9514,1.321,80.0,7.6023,2.0436,multi_mean.csv,235
multi_mean_235,97.826_27.945_3.706_3.359,97.8261,27.9452,3.7062,3.3586,80.0,14.1647,1.7041,multi_mean.csv,236
multi_mean_236,60.316_26.255_3.836_1.879,60.3165,26.2545,3.8359,1.8788,80.0,9.0396,1.6957,multi_mean.csv,237
multi_mean_237,92.829_28.205_2.876_2.058,92.8292,28.2054,2.8755,2.058,80.0,10.987,1.8657,multi_mean.csv,238
multi_mean_238,75.119_26.437_2.323_3.261,75.1192,26.4372,2.3234,3.2608,80.0,12.573,1.7203,multi_mean.csv,239
multi_mean_239,65.931_23.082_2.413_2.192,65.9313,23.0818,2.4133,2.1924,80.0,10.637,1.8681,multi_mean.csv,240
multi_mean_240,91.368_24.172_2.033_2.455,91.3682,24.1723,2.0327,2.4546,80.0,12.7247,2.0063,multi_mean.csv,241
multi_mean_241,84.357_27.050_3.550_3.413,84.3566,27.0499,3.5504,3.413,80.0,13.432,1.6485,multi_mean.csv,242
multi_mean_242,78.908_26.793_3.281_1.538,78.9078,26.7931,3.2814,1.5382,80.0,8.2658,1.9194,multi_mean.csv,243
multi_mean_243,67.904_27.846_2.712_1.460,67.9036,27.8455,2.7117,1.4599,80.0,7.2399,1.8863,multi_mean.csv,244
multi_mean_244,61.146_25.847_2.603_2.135,61.1459,25.8467,2.6025,2.1355,80.0,10.0057,1.7565,multi_mean.csv,245
multi_mean_245,89.717_29.493_2.728_2.422,89.7173,29.4931,2.7275,2.4222,80.0,12.1377,1.7477,multi_mean.csv,246
multi_mean_246,85.026_24.925_2.046_3.761,85.0257,24.925,2.046,3.7612,80.0,13.6263,1.8397,multi_mean.csv,247
multi_mean_247,89.380_23.980_2.530_2.855,89.3796,23.9795,2.5304,2.8552,80.0,13.3757,1.9158,multi_mean.csv,248
multi_mean_248,69.870_29.309_2.393_2.767,69.8696,29.3086,2.3935,2.767,80.0,11.5592,1.6185,multi_mean.csv,249
multi_mean_249,68.430_25.108_2.454_1.090,68.4305,25.1077,2.4543,1.0901,80.0,6.041,2.1628,multi_mean.csv,250
multi_mean_250,93.676_23.732_3.628_2.719,93.6759,23.7315,3.6284,2.7187,80.0,13.7456,1.8805,multi_mean.csv,251
