序号,分析因素,层号,X变量,X值,宽度(mm),高度(mm)
429,Welding speed,8,Welding speed (cm/min),23.0,10.4059,2.7542
430,Welding speed,8,Welding speed (cm/min),23.3333,10.3938,2.7192
431,Welding speed,8,Welding speed (cm/min),23.6667,10.3865,2.7053
432,Welding speed,8,Welding speed (cm/min),24.0,10.3683,2.6797
433,Welding speed,8,Welding speed (cm/min),24.3333,10.3544,2.6538
434,Welding speed,8,Welding speed (cm/min),24.6667,10.3459,2.65
435,Welding speed,8,Welding speed (cm/min),25.0,10.3304,2.629
436,Welding speed,8,Welding speed (cm/min),25.3333,10.3255,2.6128
437,Welding speed,8,Welding speed (cm/min),25.6667,10.3045,2.5917
438,Welding speed,8,Welding speed (cm/min),26.0,10.2946,2.576
439,Welding speed,8,Welding speed (cm/min),26.3333,10.2767,2.5407
440,Welding speed,8,Welding speed (cm/min),26.6667,10.2641,2.534
441,Welding speed,8,Welding speed (cm/min),27.0,10.2475,2.5111
442,Welding speed,8,Welding speed (cm/min),27.3333,10.2399,2.4928
443,Welding speed,8,Welding speed (cm/min),27.6667,10.2299,2.4704
444,Welding speed,8,Welding speed (cm/min),28.0,10.2082,2.4541
445,Welding speed,8,Welding speed (cm/min),28.3333,10.2137,2.4293
446,Welding speed,8,Welding speed (cm/min),28.6667,10.1869,2.3968
447,Welding speed,8,Welding speed (cm/min),29.0,10.1707,2.4018
448,Welding speed,8,Welding speed (cm/min),29.3333,10.1772,2.3767
449,Welding speed,8,Welding speed (cm/min),29.6667,10.1461,2.367
450,Welding speed,8,Welding speed (cm/min),30.0,10.1453,2.3411
451,Welding speed,9,Welding speed (cm/min),22.0,10.4711,2.7661
452,Welding speed,9,Welding speed (cm/min),22.3333,10.4781,2.7629
453,Welding speed,9,Welding speed (cm/min),22.6667,10.4646,2.7363
454,Welding speed,9,Welding speed (cm/min),23.0,10.4481,2.7232
455,Welding speed,9,Welding speed (cm/min),23.3333,10.4294,2.7044
456,Welding speed,9,Welding speed (cm/min),23.6667,10.4195,2.6844
457,Welding speed,9,Welding speed (cm/min),24.0,10.4111,2.6687
458,Welding speed,9,Welding speed (cm/min),24.3333,10.4104,2.6434
459,Welding speed,9,Welding speed (cm/min),24.6667,10.4002,2.6286
460,Welding speed,9,Welding speed (cm/min),25.0,10.3758,2.6108
461,Welding speed,9,Welding speed (cm/min),25.3333,10.3621,2.591
462,Welding speed,9,Welding speed (cm/min),25.6667,10.3381,2.5625
463,Welding speed,9,Welding speed (cm/min),26.0,10.3429,2.5642
464,Welding speed,9,Welding speed (cm/min),26.3333,10.3222,2.5431
465,Welding speed,9,Welding speed (cm/min),26.6667,10.3156,2.5132
466,Welding speed,9,Welding speed (cm/min),27.0,10.3056,2.4833
467,Welding speed,9,Welding speed (cm/min),27.3333,10.2828,2.4701
468,Welding speed,9,Welding speed (cm/min),27.6667,10.2662,2.4534
469,Welding speed,9,Welding speed (cm/min),28.0,10.2721,2.4461
470,Welding speed,9,Welding speed (cm/min),28.3333,10.2431,2.4115
471,Welding speed,9,Welding speed (cm/min),28.6667,10.2177,2.4028
472,Welding speed,9,Welding speed (cm/min),29.0,10.2021,2.3688
473,Welding speed,9,Welding speed (cm/min),29.3333,10.2116,2.3448
474,Welding speed,9,Welding speed (cm/min),29.6667,10.1859,2.3452
475,Welding speed,9,Welding speed (cm/min),30.0,10.1712,2.3066
476,Welding speed,10,Welding speed (cm/min),22.0,10.5387,2.7603
477,Welding speed,10,Welding speed (cm/min),22.3333,10.5235,2.7355
478,Welding speed,10,Welding speed (cm/min),22.6667,10.5181,2.7077
479,Welding speed,10,Welding speed (cm/min),23.0,10.5179,2.7037
480,Welding speed,10,Welding speed (cm/min),23.3333,10.4751,2.6823
481,Welding speed,10,Welding speed (cm/min),23.6667,10.4423,2.6598
482,Welding speed,10,Welding speed (cm/min),24.0,10.4477,2.6414
483,Welding speed,10,Welding speed (cm/min),24.3333,10.4372,2.6353
484,Welding speed,10,Welding speed (cm/min),24.6667,10.4248,2.6113
485,Welding speed,10,Welding speed (cm/min),25.0,10.4149,2.5859
486,Welding speed,10,Welding speed (cm/min),25.3333,10.4311,2.5728
487,Welding speed,10,Welding speed (cm/min),25.6667,10.3929,2.5484
488,Welding speed,10,Welding speed (cm/min),26.0,10.3783,2.5466
489,Welding speed,10,Welding speed (cm/min),26.3333,10.3644,2.5011
490,Welding speed,10,Welding speed (cm/min),26.6667,10.3321,2.4913
491,Welding speed,10,Welding speed (cm/min),27.0,10.3355,2.4672
492,Welding speed,10,Welding speed (cm/min),27.3333,10.3285,2.4588
493,Welding speed,10,Welding speed (cm/min),27.6667,10.3266,2.4348
494,Welding speed,10,Welding speed (cm/min),28.0,10.2947,2.4123
495,Welding speed,10,Welding speed (cm/min),28.3333,10.2824,2.3941
496,Welding speed,10,Welding speed (cm/min),28.6667,10.2906,2.3641
497,Welding speed,10,Welding speed (cm/min),29.0,10.2579,2.3599
498,Welding speed,10,Welding speed (cm/min),29.3333,10.2302,2.3265
499,Welding speed,10,Welding speed (cm/min),29.6667,10.2155,2.3241
500,Welding speed,10,Welding speed (cm/min),30.0,10.2116,2.29
501,Weaving frequency,1,Weaving frequency (Hz),2.0,10.0,2.735
502,Weaving frequency,1,Weaving frequency (Hz),2.0833,10.0082,2.7107
503,Weaving frequency,1,Weaving frequency (Hz),2.1667,10.0264,2.6994
504,Weaving frequency,1,Weaving frequency (Hz),2.25,10.0531,2.6922
505,Weaving frequency,1,Weaving frequency (Hz),2.3333,10.0871,2.669
506,Weaving frequency,1,Weaving frequency (Hz),2.4167,10.0799,2.658
507,Weaving frequency,1,Weaving frequency (Hz),2.5,10.1062,2.6296
508,Weaving frequency,1,Weaving frequency (Hz),2.5833,10.116,2.624
509,Weaving frequency,1,Weaving frequency (Hz),2.6667,10.1075,2.6109
510,Weaving frequency,1,Weaving frequency (Hz),2.75,10.1385,2.6009
511,Weaving frequency,1,Weaving frequency (Hz),2.8333,10.1258,2.575
512,Weaving frequency,1,Weaving frequency (Hz),2.9167,10.1461,2.5625
513,Weaving frequency,1,Weaving frequency (Hz),3.0,10.1477,2.5635
514,Weaving frequency,1,Weaving frequency (Hz),3.0833,10.1518,2.5355
515,Weaving frequency,1,Weaving frequency (Hz),3.1667,10.1495,2.5241
516,Weaving frequency,1,Weaving frequency (Hz),3.25,10.1647,2.5143
517,Weaving frequency,1,Weaving frequency (Hz),3.3333,10.151,2.4863
518,Weaving frequency,1,Weaving frequency (Hz),3.4167,10.156,2.474
519,Weaving frequency,1,Weaving frequency (Hz),3.5,10.1683,2.4648
520,Weaving frequency,1,Weaving frequency (Hz),3.5833,10.1941,2.4417
521,Weaving frequency,1,Weaving frequency (Hz),3.6667,10.1756,2.432
522,Weaving frequency,1,Weaving frequency (Hz),3.75,10.1856,2.4266
523,Weaving frequency,1,Weaving frequency (Hz),3.8333,10.1904,2.4021
524,Weaving frequency,1,Weaving frequency (Hz),3.9167,10.1875,2.3859
525,Weaving frequency,1,Weaving frequency (Hz),4.0,10.1774,2.3715
526,Weaving frequency,2,Weaving frequency (Hz),2.0,10.0265,2.7166
527,Weaving frequency,2,Weaving frequency (Hz),2.0833,10.06,2.6976
528,Weaving frequency,2,Weaving frequency (Hz),2.1667,10.0616,2.691
529,Weaving frequency,2,Weaving frequency (Hz),2.25,10.0792,2.6815
530,Weaving frequency,2,Weaving frequency (Hz),2.3333,10.1042,2.6521
531,Weaving frequency,2,Weaving frequency (Hz),2.4167,10.0989,2.6439
532,Weaving frequency,2,Weaving frequency (Hz),2.5,10.1297,2.6284
533,Weaving frequency,2,Weaving frequency (Hz),2.5833,10.1365,2.6063
534,Weaving frequency,2,Weaving frequency (Hz),2.6667,10.1453,2.59
535,Weaving frequency,2,Weaving frequency (Hz),2.75,10.1491,2.5748
536,Weaving frequency,2,Weaving frequency (Hz),2.8333,10.1695,2.57
537,Weaving frequency,2,Weaving frequency (Hz),2.9167,10.1717,2.5352
538,Weaving frequency,2,Weaving frequency (Hz),3.0,10.1866,2.5397
539,Weaving frequency,2,Weaving frequency (Hz),3.0833,10.1909,2.5253
540,Weaving frequency,2,Weaving frequency (Hz),3.1667,10.1985,2.5101
541,Weaving frequency,2,Weaving frequency (Hz),3.25,10.1938,2.4867
542,Weaving frequency,2,Weaving frequency (Hz),3.3333,10.1937,2.4755
543,Weaving frequency,2,Weaving frequency (Hz),3.4167,10.2032,2.4479
544,Weaving frequency,2,Weaving frequency (Hz),3.5,10.2109,2.439
545,Weaving frequency,2,Weaving frequency (Hz),3.5833,10.2145,2.4324
546,Weaving frequency,2,Weaving frequency (Hz),3.6667,10.2178,2.4133
547,Weaving frequency,2,Weaving frequency (Hz),3.75,10.2111,2.3917
548,Weaving frequency,2,Weaving frequency (Hz),3.8333,10.2061,2.3808
549,Weaving frequency,2,Weaving frequency (Hz),3.9167,10.2198,2.3717
550,Weaving frequency,2,Weaving frequency (Hz),4.0,10.2225,2.3531
551,Weaving frequency,3,Weaving frequency (Hz),2.0,10.0695,2.6843
552,Weaving frequency,3,Weaving frequency (Hz),2.0833,10.0737,2.671
553,Weaving frequency,3,Weaving frequency (Hz),2.1667,10.1062,2.6654
554,Weaving frequency,3,Weaving frequency (Hz),2.25,10.1336,2.6468
555,Weaving frequency,3,Weaving frequency (Hz),2.3333,10.1257,2.6353
556,Weaving frequency,3,Weaving frequency (Hz),2.4167,10.1569,2.6237
557,Weaving frequency,3,Weaving frequency (Hz),2.5,10.1564,2.6103
558,Weaving frequency,3,Weaving frequency (Hz),2.5833,10.186,2.5806
559,Weaving frequency,3,Weaving frequency (Hz),2.6667,10.1849,2.5859
560,Weaving frequency,3,Weaving frequency (Hz),2.75,10.1949,2.5603
561,Weaving frequency,3,Weaving frequency (Hz),2.8333,10.2043,2.5444
562,Weaving frequency,3,Weaving frequency (Hz),2.9167,10.2164,2.5261
563,Weaving frequency,3,Weaving frequency (Hz),3.0,10.2162,2.523
564,Weaving frequency,3,Weaving frequency (Hz),3.0833,10.2355,2.4955
565,Weaving frequency,3,Weaving frequency (Hz),3.1667,10.2277,2.4935
566,Weaving frequency,3,Weaving frequency (Hz),3.25,10.2363,2.4647
567,Weaving frequency,3,Weaving frequency (Hz),3.3333,10.251,2.4579
568,Weaving frequency,3,Weaving frequency (Hz),3.4167,10.2342,2.4455
569,Weaving frequency,3,Weaving frequency (Hz),3.5,10.2529,2.4232
570,Weaving frequency,3,Weaving frequency (Hz),3.5833,10.2563,2.4072
571,Weaving frequency,3,Weaving frequency (Hz),3.6667,10.2656,2.3962
572,Weaving frequency,3,Weaving frequency (Hz),3.75,10.2441,2.381
573,Weaving frequency,3,Weaving frequency (Hz),3.8333,10.2755,2.3739
574,Weaving frequency,3,Weaving frequency (Hz),3.9167,10.2576,2.3529
575,Weaving frequency,3,Weaving frequency (Hz),4.0,10.2446,2.3234
576,Weaving frequency,4,Weaving frequency (Hz),2.0,10.07,2.672
577,Weaving frequency,4,Weaving frequency (Hz),2.0833,10.118,2.6579
578,Weaving frequency,4,Weaving frequency (Hz),2.1667,10.1458,2.629
579,Weaving frequency,4,Weaving frequency (Hz),2.25,10.1494,2.6276
580,Weaving frequency,4,Weaving frequency (Hz),2.3333,10.1567,2.6162
581,Weaving frequency,4,Weaving frequency (Hz),2.4167,10.1897,2.5907
582,Weaving frequency,4,Weaving frequency (Hz),2.5,10.2079,2.5958
583,Weaving frequency,4,Weaving frequency (Hz),2.5833,10.2214,2.5674
584,Weaving frequency,4,Weaving frequency (Hz),2.6667,10.219,2.5611
585,Weaving frequency,4,Weaving frequency (Hz),2.75,10.2366,2.5467
586,Weaving frequency,4,Weaving frequency (Hz),2.8333,10.2305,2.5322
587,Weaving frequency,4,Weaving frequency (Hz),2.9167,10.2322,2.5104
588,Weaving frequency,4,Weaving frequency (Hz),3.0,10.2563,2.507
589,Weaving frequency,4,Weaving frequency (Hz),3.0833,10.2474,2.4829
590,Weaving frequency,4,Weaving frequency (Hz),3.1667,10.2717,2.4706
591,Weaving frequency,4,Weaving frequency (Hz),3.25,10.247,2.4593
592,Weaving frequency,4,Weaving frequency (Hz),3.3333,10.2828,2.4337
593,Weaving frequency,4,Weaving frequency (Hz),3.4167,10.2804,2.4288
594,Weaving frequency,4,Weaving frequency (Hz),3.5,10.2787,2.4061
595,Weaving frequency,4,Weaving frequency (Hz),3.5833,10.2837,2.3951
596,Weaving frequency,4,Weaving frequency (Hz),3.6667,10.2881,2.3794
597,Weaving frequency,4,Weaving frequency (Hz),3.75,10.2788,2.3625
598,Weaving frequency,4,Weaving frequency (Hz),3.8333,10.2814,2.3585
599,Weaving frequency,4,Weaving frequency (Hz),3.9167,10.2861,2.3459
600,Weaving frequency,4,Weaving frequency (Hz),4.0,10.2904,2.3186
601,Weaving frequency,5,Weaving frequency (Hz),2.0,10.1388,2.6543
602,Weaving frequency,5,Weaving frequency (Hz),2.0833,10.1543,2.6462
603,Weaving frequency,5,Weaving frequency (Hz),2.1667,10.1791,2.6218
604,Weaving frequency,5,Weaving frequency (Hz),2.25,10.1855,2.6
605,Weaving frequency,5,Weaving frequency (Hz),2.3333,10.2226,2.6011
606,Weaving frequency,5,Weaving frequency (Hz),2.4167,10.2267,2.5752
607,Weaving frequency,5,Weaving frequency (Hz),2.5,10.2344,2.5747
608,Weaving frequency,5,Weaving frequency (Hz),2.5833,10.2741,2.5619
609,Weaving frequency,5,Weaving frequency (Hz),2.6667,10.2579,2.5368
610,Weaving frequency,5,Weaving frequency (Hz),2.75,10.2565,2.526
611,Weaving frequency,5,Weaving frequency (Hz),2.8333,10.2688,2.5186
612,Weaving frequency,5,Weaving frequency (Hz),2.9167,10.2866,2.504
613,Weaving frequency,5,Weaving frequency (Hz),3.0,10.2775,2.4717
614,Weaving frequency,5,Weaving frequency (Hz),3.0833,10.2828,2.4588
615,Weaving frequency,5,Weaving frequency (Hz),3.1667,10.3022,2.4498
616,Weaving frequency,5,Weaving frequency (Hz),3.25,10.3114,2.4349
617,Weaving frequency,5,Weaving frequency (Hz),3.3333,10.3046,2.428
618,Weaving frequency,5,Weaving frequency (Hz),3.4167,10.2995,2.3993
619,Weaving frequency,5,Weaving frequency (Hz),3.5,10.3148,2.3983
620,Weaving frequency,5,Weaving frequency (Hz),3.5833,10.3058,2.3654
621,Weaving frequency,5,Weaving frequency (Hz),3.6667,10.312,2.3653
622,Weaving frequency,5,Weaving frequency (Hz),3.75,10.3227,2.34
623,Weaving frequency,5,Weaving frequency (Hz),3.8333,10.3246,2.3334
624,Weaving frequency,5,Weaving frequency (Hz),3.9167,10.3354,2.3132
625,Weaving frequency,5,Weaving frequency (Hz),4.0,10.3315,2.304
626,Weaving frequency,6,Weaving frequency (Hz),2.0,10.1599,2.6241
627,Weaving frequency,6,Weaving frequency (Hz),2.0833,10.1928,2.6225
628,Weaving frequency,6,Weaving frequency (Hz),2.1667,10.2128,2.6081
629,Weaving frequency,6,Weaving frequency (Hz),2.25,10.2342,2.605
630,Weaving frequency,6,Weaving frequency (Hz),2.3333,10.2445,2.5668
631,Weaving frequency,6,Weaving frequency (Hz),2.4167,10.2511,2.5742
632,Weaving frequency,6,Weaving frequency (Hz),2.5,10.2629,2.5614
633,Weaving frequency,6,Weaving frequency (Hz),2.5833,10.2867,2.5499
634,Weaving frequency,6,Weaving frequency (Hz),2.6667,10.2938,2.5204
635,Weaving frequency,6,Weaving frequency (Hz),2.75,10.2893,2.5147
636,Weaving frequency,6,Weaving frequency (Hz),2.8333,10.31,2.4875
637,Weaving frequency,6,Weaving frequency (Hz),2.9167,10.2989,2.4686
638,Weaving frequency,6,Weaving frequency (Hz),3.0,10.327,2.4589
639,Weaving frequency,6,Weaving frequency (Hz),3.0833,10.3179,2.4544
640,Weaving frequency,6,Weaving frequency (Hz),3.1667,10.3284,2.4203
641,Weaving frequency,6,Weaving frequency (Hz),3.25,10.332,2.4162
642,Weaving frequency,6,Weaving frequency (Hz),3.3333,10.3271,2.4118
643,Weaving frequency,6,Weaving frequency (Hz),3.4167,10.3373,2.3791
644,Weaving frequency,6,Weaving frequency (Hz),3.5,10.3493,2.3703
645,Weaving frequency,6,Weaving frequency (Hz),3.5833,10.3575,2.3526
646,Weaving frequency,6,Weaving frequency (Hz),3.6667,10.3509,2.334
647,Weaving frequency,6,Weaving frequency (Hz),3.75,10.3528,2.3364
648,Weaving frequency,6,Weaving frequency (Hz),3.8333,10.3625,2.3091
649,Weaving frequency,6,Weaving frequency (Hz),3.9167,10.3522,2.3017
650,Weaving frequency,6,Weaving frequency (Hz),4.0,10.3526,2.2852
651,Weaving frequency,7,Weaving frequency (Hz),2.0,10.2217,2.6175
652,Weaving frequency,7,Weaving frequency (Hz),2.0833,10.2337,2.6105
653,Weaving frequency,7,Weaving frequency (Hz),2.1667,10.2469,2.5902
654,Weaving frequency,7,Weaving frequency (Hz),2.25,10.2599,2.5708
655,Weaving frequency,7,Weaving frequency (Hz),2.3333,10.2734,2.556
656,Weaving frequency,7,Weaving frequency (Hz),2.4167,10.2916,2.5482
657,Weaving frequency,7,Weaving frequency (Hz),2.5,10.3204,2.5353
658,Weaving frequency,7,Weaving frequency (Hz),2.5833,10.3263,2.5176
659,Weaving frequency,7,Weaving frequency (Hz),2.6667,10.3268,2.5102
660,Weaving frequency,7,Weaving frequency (Hz),2.75,10.3453,2.4955
661,Weaving frequency,7,Weaving frequency (Hz),2.8333,10.3407,2.4741
662,Weaving frequency,7,Weaving frequency (Hz),2.9167,10.3535,2.4592
663,Weaving frequency,7,Weaving frequency (Hz),3.0,10.3556,2.4393
664,Weaving frequency,7,Weaving frequency (Hz),3.0833,10.3676,2.4359
665,Weaving frequency,7,Weaving frequency (Hz),3.1667,10.3695,2.4185
666,Weaving frequency,7,Weaving frequency (Hz),3.25,10.3892,2.4034
667,Weaving frequency,7,Weaving frequency (Hz),3.3333,10.3862,2.3946
668,Weaving frequency,7,Weaving frequency (Hz),3.4167,10.3915,2.376
669,Weaving frequency,7,Weaving frequency (Hz),3.5,10.3744,2.3498
670,Weaving frequency,7,Weaving frequency (Hz),3.5833,10.3979,2.3342
671,Weaving frequency,7,Weaving frequency (Hz),3.6667,10.3932,2.3065
672,Weaving frequency,7,Weaving frequency (Hz),3.75,10.3956,2.3026
673,Weaving frequency,7,Weaving frequency (Hz),3.8333,10.3959,2.2985
674,Weaving frequency,7,Weaving frequency (Hz),3.9167,10.4092,2.2811
675,Weaving frequency,7,Weaving frequency (Hz),4.0,10.3918,2.2648
676,Weaving frequency,8,Weaving frequency (Hz),2.0,10.2375,2.5931
677,Weaving frequency,8,Weaving frequency (Hz),2.0833,10.2565,2.5791
678,Weaving frequency,8,Weaving frequency (Hz),2.1667,10.2977,2.5724
679,Weaving frequency,8,Weaving frequency (Hz),2.25,10.3014,2.5597
680,Weaving frequency,8,Weaving frequency (Hz),2.3333,10.326,2.5413
681,Weaving frequency,8,Weaving frequency (Hz),2.4167,10.3289,2.5265
682,Weaving frequency,8,Weaving frequency (Hz),2.5,10.33,2.5083
683,Weaving frequency,8,Weaving frequency (Hz),2.5833,10.3675,2.5148
684,Weaving frequency,8,Weaving frequency (Hz),2.6667,10.3693,2.4871
685,Weaving frequency,8,Weaving frequency (Hz),2.75,10.3518,2.4707
686,Weaving frequency,8,Weaving frequency (Hz),2.8333,10.3857,2.4596
687,Weaving frequency,8,Weaving frequency (Hz),2.9167,10.3978,2.4345
688,Weaving frequency,8,Weaving frequency (Hz),3.0,10.404,2.4205
689,Weaving frequency,8,Weaving frequency (Hz),3.0833,10.4047,2.4102
690,Weaving frequency,8,Weaving frequency (Hz),3.1667,10.4004,2.3937
691,Weaving frequency,8,Weaving frequency (Hz),3.25,10.4068,2.3806
692,Weaving frequency,8,Weaving frequency (Hz),3.3333,10.406,2.3649
693,Weaving frequency,8,Weaving frequency (Hz),3.4167,10.3976,2.3495
694,Weaving frequency,8,Weaving frequency (Hz),3.5,10.4084,2.3351
695,Weaving frequency,8,Weaving frequency (Hz),3.5833,10.4186,2.3141
696,Weaving frequency,8,Weaving frequency (Hz),3.6667,10.4146,2.3176
697,Weaving frequency,8,Weaving frequency (Hz),3.75,10.4117,2.2949
698,Weaving frequency,8,Weaving frequency (Hz),3.8333,10.4132,2.2824
699,Weaving frequency,8,Weaving frequency (Hz),3.9167,10.435,2.2677
700,Weaving frequency,8,Weaving frequency (Hz),4.0,10.4244,2.2445
701,Weaving frequency,9,Weaving frequency (Hz),2.0,10.2719,2.583
702,Weaving frequency,9,Weaving frequency (Hz),2.0833,10.2949,2.5595
703,Weaving frequency,9,Weaving frequency (Hz),2.1667,10.317,2.5434
704,Weaving frequency,9,Weaving frequency (Hz),2.25,10.3299,2.5429
705,Weaving frequency,9,Weaving frequency (Hz),2.3333,10.3559,2.5188
706,Weaving frequency,9,Weaving frequency (Hz),2.4167,10.3782,2.5103
707,Weaving frequency,9,Weaving frequency (Hz),2.5,10.38,2.4955
708,Weaving frequency,9,Weaving frequency (Hz),2.5833,10.3832,2.4745
709,Weaving frequency,9,Weaving frequency (Hz),2.6667,10.4079,2.4638
710,Weaving frequency,9,Weaving frequency (Hz),2.75,10.3965,2.4475
711,Weaving frequency,9,Weaving frequency (Hz),2.8333,10.4188,2.4336
712,Weaving frequency,9,Weaving frequency (Hz),2.9167,10.4307,2.4192
713,Weaving frequency,9,Weaving frequency (Hz),3.0,10.416,2.4006
714,Weaving frequency,9,Weaving frequency (Hz),3.0833,10.4298,2.3907
715,Weaving frequency,9,Weaving frequency (Hz),3.1667,10.4345,2.3857
716,Weaving frequency,9,Weaving frequency (Hz),3.25,10.4318,2.3588
717,Weaving frequency,9,Weaving frequency (Hz),3.3333,10.4403,2.3372
718,Weaving frequency,9,Weaving frequency (Hz),3.4167,10.4573,2.3278
719,Weaving frequency,9,Weaving frequency (Hz),3.5,10.4596,2.3155
720,Weaving frequency,9,Weaving frequency (Hz),3.5833,10.4512,2.2961
721,Weaving frequency,9,Weaving frequency (Hz),3.6667,10.4543,2.2802
722,Weaving frequency,9,Weaving frequency (Hz),3.75,10.4756,2.2861
723,Weaving frequency,9,Weaving frequency (Hz),3.8333,10.4744,2.2503
724,Weaving frequency,9,Weaving frequency (Hz),3.9167,10.4614,2.2435
725,Weaving frequency,9,Weaving frequency (Hz),4.0,10.4688,2.228
726,Weaving frequency,10,Weaving frequency (Hz),2.0,10.3098,2.5559
727,Weaving frequency,10,Weaving frequency (Hz),2.0833,10.3417,2.5384
728,Weaving frequency,10,Weaving frequency (Hz),2.1667,10.351,2.5378
729,Weaving frequency,10,Weaving frequency (Hz),2.25,10.3669,2.519
730,Weaving frequency,10,Weaving frequency (Hz),2.3333,10.3811,2.5029
731,Weaving frequency,10,Weaving frequency (Hz),2.4167,10.3974,2.4976
732,Weaving frequency,10,Weaving frequency (Hz),2.5,10.4164,2.4671
733,Weaving frequency,10,Weaving frequency (Hz),2.5833,10.414,2.4669
734,Weaving frequency,10,Weaving frequency (Hz),2.6667,10.4404,2.4587
735,Weaving frequency,10,Weaving frequency (Hz),2.75,10.4335,2.4373
736,Weaving frequency,10,Weaving frequency (Hz),2.8333,10.4297,2.4337
737,Weaving frequency,10,Weaving frequency (Hz),2.9167,10.4527,2.4024
738,Weaving frequency,10,Weaving frequency (Hz),3.0,10.4587,2.3875
739,Weaving frequency,10,Weaving frequency (Hz),3.0833,10.4524,2.3665
740,Weaving frequency,10,Weaving frequency (Hz),3.1667,10.4599,2.365
741,Weaving frequency,10,Weaving frequency (Hz),3.25,10.4739,2.3511
742,Weaving frequency,10,Weaving frequency (Hz),3.3333,10.4924,2.3189
743,Weaving frequency,10,Weaving frequency (Hz),3.4167,10.4805,2.3245
744,Weaving frequency,10,Weaving frequency (Hz),3.5,10.4816,2.2904
745,Weaving frequency,10,Weaving frequency (Hz),3.5833,10.4975,2.2774
746,Weaving frequency,10,Weaving frequency (Hz),3.6667,10.4916,2.2608
747,Weaving frequency,10,Weaving frequency (Hz),3.75,10.4862,2.2453
748,Weaving frequency,10,Weaving frequency (Hz),3.8333,10.5061,2.2419
749,Weaving frequency,10,Weaving frequency (Hz),3.9167,10.5006,2.2188
750,Weaving frequency,10,Weaving frequency (Hz),4.0,10.4995,2.1917
751,Weaving amplitude,1,Weaving amplitude (mm),1.0,6.2184,3.5546
752,Weaving amplitude,1,Weaving amplitude (mm),1.1249,6.5,3.3948
753,Weaving amplitude,1,Weaving amplitude (mm),1.2501,6.8917,3.2166
754,Weaving amplitude,1,Weaving amplitude (mm),1.375,7.0781,3.1085
755,Weaving amplitude,1,Weaving amplitude (mm),1.4999,7.4019,3.0154
756,Weaving amplitude,1,Weaving amplitude (mm),1.6251,7.8041,2.8703
757,Weaving amplitude,1,Weaving amplitude (mm),1.75,8.1242,2.7997
758,Weaving amplitude,1,Weaving amplitude (mm),1.875,8.4234,2.702
759,Weaving amplitude,1,Weaving amplitude (mm),2.0,8.8251,2.633
760,Weaving amplitude,1,Weaving amplitude (mm),2.125,9.2141,2.5446
761,Weaving amplitude,1,Weaving amplitude (mm),2.25,9.4947,2.473
762,Weaving amplitude,1,Weaving amplitude (mm),2.375,9.9824,2.4682
763,Weaving amplitude,1,Weaving amplitude (mm),2.5,10.2146,2.4233
764,Weaving amplitude,1,Weaving amplitude (mm),2.625,10.4599,2.3255
765,Weaving amplitude,1,Weaving amplitude (mm),2.75,10.7342,2.3172
766,Weaving amplitude,1,Weaving amplitude (mm),2.875,11.0218,2.2962
767,Weaving amplitude,1,Weaving amplitude (mm),3.0,11.079,2.2359
768,Weaving amplitude,1,Weaving amplitude (mm),3.125,11.2991,2.2476
769,Weaving amplitude,1,Weaving amplitude (mm),3.25,11.4186,2.2044
770,Weaving amplitude,1,Weaving amplitude (mm),3.375,11.7895,2.1618
771,Weaving amplitude,1,Weaving amplitude (mm),3.5,12.1073,2.172
772,Weaving amplitude,1,Weaving amplitude (mm),3.625,12.2174,2.1725
773,Weaving amplitude,1,Weaving amplitude (mm),3.75,12.5313,2.1464
774,Weaving amplitude,1,Weaving amplitude (mm),3.875,12.6446,2.12
775,Weaving amplitude,1,Weaving amplitude (mm),4.0,12.9977,2.1328
776,Weaving amplitude,2,Weaving amplitude (mm),1.0,6.2559,3.5167
777,Weaving amplitude,2,Weaving amplitude (mm),1.1249,6.5443,3.3453
778,Weaving amplitude,2,Weaving amplitude (mm),1.2501,6.8872,3.1947
779,Weaving amplitude,2,Weaving amplitude (mm),1.375,7.1239,3.0907
780,Weaving amplitude,2,Weaving amplitude (mm),1.4999,7.6123,2.9436
781,Weaving amplitude,2,Weaving amplitude (mm),1.6251,7.7817,2.8295
782,Weaving amplitude,2,Weaving amplitude (mm),1.75,8.2997,2.754
783,Weaving amplitude,2,Weaving amplitude (mm),1.875,8.5502,2.6792
784,Weaving amplitude,2,Weaving amplitude (mm),2.0,8.9112,2.6081
785,Weaving amplitude,2,Weaving amplitude (mm),2.125,9.345,2.5213
786,Weaving amplitude,2,Weaving amplitude (mm),2.25,9.6125,2.486
787,Weaving amplitude,2,Weaving amplitude (mm),2.375,10.0694,2.4208
788,Weaving amplitude,2,Weaving amplitude (mm),2.5,10.3523,2.3776
789,Weaving amplitude,2,Weaving amplitude (mm),2.625,10.5674,2.3525
790,Weaving amplitude,2,Weaving amplitude (mm),2.75,10.8401,2.2946
791,Weaving amplitude,2,Weaving amplitude (mm),2.875,10.9966,2.2698
792,Weaving amplitude,2,Weaving amplitude (mm),3.0,11.1556,2.2258
793,Weaving amplitude,2,Weaving amplitude (mm),3.125,11.3648,2.2006
794,Weaving amplitude,2,Weaving amplitude (mm),3.25,11.6621,2.2205
795,Weaving amplitude,2,Weaving amplitude (mm),3.375,11.8649,2.1909
796,Weaving amplitude,2,Weaving amplitude (mm),3.5,12.1155,2.1145
